lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2075833014170816,0.015981100433681616,2611,542,0.02
"[0, 3, 0, 0]","[2, 1, 0, 0]","[0, 2, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.25983037779491136,0.012108084712678213,5188,1348,0.02
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.19660755589822668,0.011037656955230624,5188,1020,0.02
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",0,0,0,0,24,4,2,0.2710100231303007,0.012261250375237565,5188,1406,0.02
"[0, 3, 0, 0]","[2, 1, 0, 0]","[1, 1, -1, 0]","[1, 1, 0, -1]",-1,0,0,0,24,4,2,0.25936599423631124,0.013529992512652744,4164,1080,0.02
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.19699306090979182,0.011045361117814928,5188,1022,0.02
"[0, 3, 0, 0]","[2, 2, 0, 0]","[0, 1, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,2,0.2646491904394757,0.01217531495808144,5188,1373,0.02
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.21376252891287587,0.011365428097625668,5188,1109,0.02
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",0,0,0,0,24,4,2,0.2600231303006939,0.012110809611037054,5188,1349,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2656129529683886,0.012188539475936344,5188,1378,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2690824980724749,0.014157601218207916,3891,1047,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.271373679154659,0.013712467916819626,4164,1130,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,2,0.25983037779491136,0.012108084712678213,5188,1348,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,2,0.26137239784117194,0.01212980028949412,5188,1356,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,2,0.25501156515034695,0.012038983998880981,5188,1323,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,2,0.25936599423631124,0.013529992512652744,4164,1080,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,2,0.24327569644572528,0.013265005952624864,4164,1013,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,2,0.2483189241114313,0.01335065928077328,4164,1034,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.2579028527370856,0.012080670782235403,5188,1338,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.26214340786430224,0.0121405866001415,5188,1360,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.2793626317142123,0.014310687816174061,3891,1087,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.26754047802621433,0.01413382704459265,3891,1041,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2719095348239527,0.014200632884218745,3891,1058,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.2700462606013878,0.012248432790580577,5188,1401,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.26754047802621433,0.012214769039675277,5188,1388,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.2611464968152866,0.015649540122037564,3140,820,0.02
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.2573245952197379,0.0120723879232979,5188,1335,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.191017733230532,0.010924121589129449,5188,991,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.1877409406322282,0.010855949671195936,5188,974,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.20007710100231302,0.011106419884337304,5188,1038,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.19620557156580212,0.012339970779381176,4164,817,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.19680030840400925,0.011041511043903884,5188,1021,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.20566692367000772,0.011214529289679614,5188,1067,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.26310717039321513,0.012154002748270776,5188,1365,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2690824980724749,0.012235543107525337,5188,1396,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.27139552814186585,0.012266357275783568,5188,1408,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,3,0.030871670702179176,0.003953826720138668,8260,255,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,3,0.03018776303010683,0.003166094836022964,12356,373,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,3,0.030267753201396973,0.0034863922458873396,10308,312,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.2833461835003855,0.012419050114580166,5188,1470,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.265420200462606,0.01218590043983575,5188,1377,0.02
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.27679259830377795,0.012336655192287937,5188,1436,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2656129529683886,0.012188539475936344,5188,1378,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2764070932922128,0.012331707663620572,5188,1434,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.2644564379336931,0.01217266124307581,5188,1372,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.2632999228989977,0.012156677100210123,5188,1366,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.271781033153431,0.012271452694661567,5188,1410,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.2764070932922128,0.012331707663620572,5188,1434,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2027756360832691,0.015907138890669525,2594,526,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.19729542302357836,0.014922885591162033,2884,569,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.20855821125674634,0.011269180637093423,5188,1082,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.1948727833461835,0.01100278875438851,5188,1011,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.18928296067848882,0.01088818160981131,5188,982,0.02
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.20624518118735544,0.01122552791649517,5188,1070,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2764070932922128,0.012331707663620572,5188,1434,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2625289128758674,0.012145961945456252,5188,1362,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.2710100231303007,0.012261250375237565,5188,1406,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.2719737856592136,0.012273996103260854,5188,1411,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.2747358309317964,0.01376131045715756,4164,1144,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.2634926754047803,0.012159348497794764,5188,1367,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.2700462606013878,0.012248432790580577,5188,1401,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.2683114880493446,0.012225179286248222,5188,1392,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.25501156515034695,0.012038983998880981,5188,1323,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.2727447956823439,0.012284141109864866,5188,1415,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.2573245952197379,0.0120723879232979,5188,1335,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.27139552814186585,0.012266357275783568,5188,1408,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,0,0,0,24,4,2,0.26011560693641617,0.017225069407738658,2595,675,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,24,4,2,0.279491133384734,0.012370973065028712,5188,1450,0.02
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,1,0,0,24,4,2,0.2735158057054742,0.012294240402993761,5188,1419,0.02
